s	algo1_time	algo2_time	algo3_time
659	0.000000	0.003139	0.000002
660	0.000000	0.003122	0.000001
661	0.000000	0.003329	0.000002
662	0.000000	0.003247	0.000002
663	0.000000	0.003088	0.000002
664	0.000000	0.003117	0.000002
665	0.000000	0.003462	0.000002
666	0.000000	0.003434	0.000002
667	0.000000	0.003185	0.000002
668	0.000000	0.003268	0.000002
669	0.000000	0.003293	0.000002
670	0.000000	0.003179	0.000002
671	0.000000	0.003212	0.000003
672	0.000000	0.003446	0.000002
673	0.000000	0.003259	0.000002
674	0.000000	0.003181	0.000002
675	0.000000	0.003444	0.000001
676	0.000000	0.003262	0.000001
677	0.000000	0.003139	0.000001
678	0.000000	0.003278	0.000002
679	0.000000	0.003343	0.000001
680	0.000000	0.003124	0.000001
681	0.000000	0.003436	0.000002
682	0.000000	0.003325	0.000001
683	0.000000	0.003351	0.000002
684	0.000000	0.003268	0.000002
685	0.000000	0.003212	0.000002
686	0.000000	0.003460	0.000003
687	0.000000	0.003379	0.000002
688	0.000000	0.003277	0.000002
689	0.000000	0.003646	0.000002
690	0.000000	0.003376	0.000002
691	0.000000	0.003472	0.000002
692	0.000000	0.003321	0.000002
693	0.000000	0.003201	0.000002
694	0.000000	0.003545	0.000003
695	0.000000	0.003268	0.000002
696	0.000000	0.003257	0.000002
697	0.000000	0.003524	0.000002
698	0.000000	0.003389	0.000002
699	0.000000	0.003359	0.000002
700	0.000000	0.003524	0.000002
701	0.000000	0.003572	0.000002
702	0.000000	0.003306	0.000002
703	0.000000	0.003220	0.000002
704	0.000000	0.003650	0.000002
705	0.000000	0.003219	0.000001
706	0.000000	0.003230	0.000001
707	0.000000	0.003766	0.000003
708	0.000000	0.003584	0.000003
709	0.000000	0.003298	0.000002
710	0.000000	0.003639	0.000002
711	0.000000	0.003379	0.000002
712	0.000000	0.003353	0.000003
713	0.000000	0.003535	0.000002
714	0.000000	0.003417	0.000003
715	0.000000	0.003648	0.000002
716	0.000000	0.003597	0.000002
717	0.000000	0.003416	0.000002
718	0.000000	0.003618	0.000002
719	0.000000	0.003320	0.000002
720	0.000000	0.003731	0.000002
721	0.000000	0.003302	0.000002
722	0.000000	0.003732	0.000002
723	0.000000	0.003378	0.000002
724	0.000000	0.003593	0.000002
725	0.000000	0.003574	0.000002
726	0.000000	0.003512	0.000002
727	0.000000	0.003554	0.000002
728	0.000000	0.003722	0.000002
729	0.000000	0.003532	0.000002
730	0.000000	0.003522	0.000002
731	0.000000	0.003423	0.000002
732	0.000000	0.003715	0.000002
733	0.000000	0.003364	0.000002
734	0.000000	0.003599	0.000002
735	0.000000	0.003592	0.000002
736	0.000000	0.005355	0.000004
737	0.000000	0.004309	0.000003
738	0.000000	0.003714	0.000002
739	0.000000	0.003448	0.000002
740	0.000000	0.003682	0.000002
741	0.000000	0.003405	0.000002
742	0.000000	0.003830	0.000002
743	0.000000	0.003408	0.000002
744	0.000000	0.003632	0.000002
745	0.000000	0.003668	0.000002
746	0.000000	0.003597	0.000002
747	0.000000	0.003659	0.000002
748	0.000000	0.003580	0.000002
749	0.000000	0.003948	0.000002
750	0.000000	0.003691	0.000004
751	0.000000	0.003584	0.000002
752	0.000000	0.003557	0.000001
753	0.000000	0.003459	0.000001
754	0.000000	0.003945	0.000002
755	0.000000	0.003487	0.000002
756	0.000000	0.003616	0.000003
757	0.000000	0.003525	0.000002
758	0.000000	0.003627	0.000002
759	0.000000	0.003506	0.000002
760	0.000000	0.003618	0.000002
761	0.000000	0.003527	0.000002
762	0.000000	0.003650	0.000002
763	0.000000	0.003563	0.000002
764	0.000000	0.003627	0.000002
765	0.000000	0.003517	0.000001
766	0.000000	0.003644	0.000002
767	0.000000	0.003826	0.000002
768	0.000000	0.003679	0.000002
769	0.000000	0.003792	0.000002
770	0.000000	0.003683	0.000002
771	0.000000	0.003822	0.000002
772	0.000000	0.003811	0.000002
773	0.000000	0.003710	0.000002
774	0.000000	0.003684	0.000002
775	0.000000	0.003576	0.000001
776	0.000000	0.003969	0.000002
777	0.000000	0.003730	0.000002
778	0.000000	0.003831	0.000002
779	0.000000	0.003602	0.000002
780	0.000000	0.003936	0.000002
781	0.000000	0.003622	0.000002
782	0.000000	0.004044	0.000002
783	0.000000	0.003590	0.000002
784	0.000000	0.003987	0.000002
785	0.000000	0.003598	0.000001
786	0.000000	0.003711	0.000002
787	0.000000	0.003610	0.000002
788	0.000000	0.003752	0.000002
789	0.000000	0.003631	0.000002
790	0.000000	0.003711	0.000002
791	0.000000	0.003649	0.000002
792	0.000000	0.003773	0.000002
793	0.000000	0.003890	0.000002
794	0.000000	0.003755	0.000002
795	0.000000	0.003658	0.000002
796	0.000000	0.004012	0.000002
797	0.000000	0.003681	0.000002
798	0.000000	0.003886	0.000002
799	0.000000	0.003795	0.000002
800	0.000000	0.003834	0.000003
801	0.000000	0.003926	0.000002
802	0.000000	0.003906	0.000002
803	0.000000	0.003803	0.000002
804	0.000000	0.004480	0.000002
805	0.000000	0.003823	0.000002
806	0.000000	0.004025	0.000002
807	0.000000	0.003843	0.000002
808	0.000000	0.003974	0.000002
809	0.000000	0.003729	0.000002
810	0.000000	0.004435	0.000003
811	0.000000	0.003911	0.000002
812	0.000000	0.005450	0.000004
813	0.000000	0.006694	0.000004
814	0.000000	0.007572	0.000004
815	0.000000	0.005292	0.000003
816	0.000000	0.004844	0.000002
817	0.000000	0.004223	0.000002
