s	algo1_time	algo2_time	algo3_time
535	0.000000	0.004759	0.000002
536	0.000000	0.004942	0.000001
537	0.000000	0.004918	0.000002
538	0.000000	0.004702	0.000002
539	0.000000	0.004958	0.000002
540	0.000000	0.004713	0.000001
541	0.000000	0.004948	0.000001
542	0.000000	0.004975	0.000002
543	0.000000	0.005150	0.000002
544	0.000000	0.004831	0.000002
545	0.000000	0.005004	0.000001
546	0.000000	0.004750	0.000001
547	0.000000	0.005009	0.000002
548	0.000000	0.004856	0.000002
549	0.000000	0.004969	0.000001
550	0.000000	0.005046	0.000002
551	0.000000	0.004802	0.000001
552	0.000000	0.005064	0.000002
553	0.000000	0.004813	0.000001
554	0.000000	0.005077	0.000002
555	0.000000	0.004851	0.000001
556	0.000000	0.005141	0.000002
557	0.000000	0.004869	0.000001
558	0.000000	0.005099	0.000002
559	0.000000	0.004872	0.000002
560	0.000000	0.005137	0.000001
561	0.000000	0.004914	0.000001
562	0.000000	0.005121	0.000001
563	0.000000	0.004933	0.000001
564	0.000000	0.005174	0.000002
565	0.000000	0.004932	0.000001
566	0.000000	0.005180	0.000002
567	0.000000	0.004965	0.000001
568	0.000000	0.005255	0.000002
569	0.000000	0.004978	0.000002
570	0.000000	0.005200	0.000001
571	0.000000	0.008471	0.000003
572	0.000000	0.007294	0.000002
573	0.000000	0.005071	0.000002
574	0.000000	0.005198	0.000002
575	0.000000	0.005055	0.000002
576	0.000000	0.005292	0.000002
577	0.000000	0.005081	0.000001
578	0.000000	0.005228	0.000001
579	0.000000	0.005103	0.000001
580	0.000000	0.005258	0.000002
581	0.000000	0.005292	0.000002
582	0.000000	0.005430	0.000002
583	0.000000	0.005322	0.000002
584	0.000000	0.005272	0.000002
585	0.000000	0.005315	0.000001
586	0.000000	0.005335	0.000002
587	0.000000	0.005350	0.000002
588	0.000000	0.005257	0.000002
589	0.000000	0.005380	0.000002
590	0.000000	0.005338	0.000001
591	0.000000	0.005254	0.000001
592	0.000000	0.005291	0.000001
593	0.000000	0.005302	0.000001
594	0.000000	0.005334	0.000002
595	0.000000	0.005541	0.000003
596	0.000000	0.005275	0.000001
597	0.000000	0.005646	0.000002
598	0.000000	0.005344	0.000001
599	0.000000	0.005343	0.000001
600	0.000000	0.005377	0.000001
601	0.000000	0.005403	0.000002
602	0.000000	0.005356	0.000001
603	0.000000	0.005399	0.000002
604	0.000000	0.005406	0.000002
605	0.000000	0.005410	0.000002
606	0.000000	0.005424	0.000001
607	0.000000	0.005404	0.000001
608	0.000000	0.005469	0.000001
609	0.000000	0.005471	0.000002
610	0.000000	0.005451	0.000002
611	0.000000	0.005513	0.000002
612	0.000000	0.005495	0.000001
613	0.000000	0.005510	0.000002
614	0.000000	0.005576	0.000001
615	0.000000	0.005591	0.000002
616	0.000000	0.005541	0.000001
617	0.000000	0.005543	0.000002
618	0.000000	0.005509	0.000001
619	0.000000	0.005574	0.000001
620	0.000000	0.005524	0.000001
621	0.000000	0.005671	0.000002
622	0.000000	0.005562	0.000001
623	0.000000	0.005662	0.000002
624	0.000000	0.005494	0.000001
625	0.000000	0.005589	0.000002
626	0.000000	0.005628	0.000002
627	0.000000	0.005617	0.000001
628	0.000000	0.005588	0.000002
629	0.000000	0.005622	0.000002
630	0.000000	0.005675	0.000001
631	0.000000	0.005660	0.000002
632	0.000000	0.005841	0.000002
633	0.000000	0.005536	0.000001
634	0.000000	0.005558	0.000001
635	0.000000	0.005622	0.000001
636	0.000000	0.005612	0.000001
637	0.000000	0.005632	0.000002
638	0.000000	0.005623	0.000001
639	0.000000	0.005631	0.000002
640	0.000000	0.005710	0.000001
641	0.000000	0.005581	0.000001
